"Sample","ClassAbundance","Class","Sample","Class"
"sa1",0.421020198562136,"Betaproteobacteria","sa1","Betaproteobacteria"
"sa1",0.0215679561793906,"Nostocophycideae","sa1","Nostocophycideae"
"sa1",0.185758301951387,"[Saprospirae]","sa1","[Saprospirae]"
"sa1",0.155631633002396,"Flavobacteriia","sa1","Flavobacteriia"
"sa1",0.0572406710030811,"Cytophagia","sa1","Cytophagia"
"sa1",0.0623758986648408,"Alphaproteobacteria","sa1","Alphaproteobacteria"
"sa1",0.0226634714138993,"Synechococcophycideae","sa1","Synechococcophycideae"
"sa1",0.00540910647038685,"[Chloracidobacteria]","sa1","[Chloracidobacteria]"
"sa1",0.0171174255391989,"Planctomycetia","sa1","Planctomycetia"
"sa1",0.0078055460458747,"Gammaproteobacteria","sa1","Gammaproteobacteria"
"sa1",0.00554604587470045,"Chloroplast","sa1","Chloroplast"
"sa1",0.00342348510783978,"Armatimonadia","sa1","Armatimonadia"
"sa1",0.00520369736391647,"Solibacteres","sa1","Solibacteres"
"sa1",0.00869565217391304,"Sphingobacteriia","sa1","Sphingobacteriia"
"sa1",0.00253337897980144,"Oscillatoriophycideae","sa1","Oscillatoriophycideae"
"sa1",0.0015748031496063,"Deinococci","sa1","Deinococci"
"sa1",0.00171174255391989,"BD1-5","sa1","BD1-5"
"sa1",0.00267031838411503,"OPB56","sa1","OPB56"
"sa1",0.00369736391646696,"Anaerolineae","sa1","Anaerolineae"
"sa1",0.00253337897980144,"Deltaproteobacteria","sa1","Deltaproteobacteria"
"sa1",0.000821636425881547,"Acidimicrobiia","sa1","Acidimicrobiia"
"sa1",0.000410818212940774,"[Pedosphaerae]","sa1","[Pedosphaerae]"
"sa1",0.000273878808627182,"ML635J-21","sa1","ML635J-21"
"sa1",0.000479287915097569,"Erysipelotrichi","sa1","Erysipelotrichi"
"sa1",0.000273878808627182,"4C0d-2","sa1","4C0d-2"
"sa1",0.000205409106470387,"Fusobacteriia","sa1","Fusobacteriia"
"sa1",0.000205409106470387,"Phycisphaerae","sa1","Phycisphaerae"
"sa1",0.000205409106470387,"[Leptospirae]","sa1","[Leptospirae]"
"sa1",0.00109551523450873,"Verrucomicrobiae","sa1","Verrucomicrobiae"
"sa1",0.000205409106470387,"[Fimbriimonadia]","sa1","[Fimbriimonadia]"
"sa1",0.000821636425881547,"Bacteroidia","sa1","Bacteroidia"
"sa1",0.000136939404313591,"TM7-1","sa1","TM7-1"
"sa1",0.000136939404313591,"ZB2","sa1","ZB2"
"sa1",0.000136939404313591,"VC2_1_Bac22","sa1","VC2_1_Bac22"
"sa1",0.000273878808627182,"Clostridia","sa1","Clostridia"
"sa1",0.000136939404313591,"Actinobacteria","sa1","Actinobacteria"
